x,y,count,duration_ms,start_ms,end_ms,duration_s,start_s,end_s,type
134.0,81.0,11,83,0,83,0.083,0.0,0.083,fixation
387.0,131.0,16,125,125,250,0.125,0.125,0.25,fixation
167.0,136.0,26,217,291,508,0.217,0.291,0.508,fixation
47.0,91.0,18,142,558,700,0.142,0.558,0.7,fixation
260.0,164.0,41,333,758,1091,0.333,0.758,1.091,fixation
345.0,82.0,30,241,1150,1391,0.241,1.15,1.391,fixation
406.0,46.0,14,109,1466,1575,0.109,1.466,1.575,fixation
269.0,224.0,12,92,1891,1983,0.092,1.891,1.983,fixation
242.0,242.0,25,200,1999,2199,0.2,1.999,2.199,fixation
198.0,133.0,8,59,2249,2308,0.059,2.249,2.308,fixation
200.0,141.0,10,75,2349,2424,0.075,2.349,2.424,fixation
110.0,137.0,18,166,2533,2699,0.166,2.533,2.699,fixation
212.0,184.0,8,58,2766,2824,0.058,2.766,2.824,fixation
187.0,138.0,23,184,2849,3033,0.184,2.849,3.033,fixation
48.0,86.0,8,58,3341,3399,0.058,3.341,3.399,fixation
316.0,156.0,20,250,3491,3741,0.25,3.491,3.741,fixation
211.0,169.0,19,150,3783,3933,0.15,3.783,3.933,fixation
213.0,179.0,8,58,3958,4016,0.058,3.958,4.016,fixation
195.0,287.0,20,159,4074,4233,0.159,4.074,4.233,fixation
237.0,272.0,17,133,4574,4707,0.133,4.574,4.707,fixation
247.0,296.0,16,125,4849,4974,0.125,4.849,4.974,fixation
142.0,283.0,8,58,5016,5074,0.058,5.016,5.074,fixation
192.0,155.0,10,75,5357,5432,0.075,5.357,5.432,fixation
208.0,168.0,18,142,5457,5599,0.142,5.457,5.599,fixation
193.0,141.0,27,217,5649,5866,0.217,5.649,5.866,fixation
331.0,138.0,31,300,5907,6207,0.3,5.907,6.207,fixation
257.0,119.0,16,125,6374,6499,0.125,6.374,6.499,fixation
205.0,112.0,12,91,6566,6657,0.091,6.566,6.657,fixation
206.0,100.0,14,108,6716,6824,0.108,6.716,6.824,fixation
185.0,110.0,13,100,6849,6949,0.1,6.849,6.949,fixation
135.0,124.0,15,117,7182,7299,0.117,7.182,7.299,fixation
221.0,170.0,18,142,7424,7566,0.142,7.424,7.566,fixation
205.0,126.0,16,125,7799,7924,0.125,7.799,7.924,fixation
159.0,159.0,29,233,8274,8507,0.233,8.274,8.507,fixation
298.0,131.0,11,83,8557,8640,0.083,8.557,8.64,fixation
291.0,115.0,8,59,8740,8799,0.059,8.74,8.799,fixation
260.0,103.0,8,58,8924,8982,0.058,8.924,8.982,fixation
210.0,115.0,11,83,9024,9107,0.083,9.024,9.107,fixation
241.0,133.0,44,358,9249,9607,0.358,9.249,9.607,fixation
283.0,130.0,17,134,9940,10074,0.134,9.94,10.074,fixation
317.0,137.0,39,317,10115,10432,0.317,10.115,10.432,fixation
337.0,141.0,22,175,10457,10632,0.175,10.457,10.632,fixation
380.0,128.0,45,366,10749,11115,0.366,10.749,11.115,fixation
388.0,127.0,9,67,11190,11257,0.067,11.19,11.257,fixation
416.0,126.0,31,250,11282,11532,0.25,11.282,11.532,fixation
133.0,134.0,11,83,11732,11815,0.083,11.732,11.815,fixation
109.0,108.0,22,175,11840,12015,0.175,11.84,12.015,fixation
208.0,133.0,39,317,12523,12840,0.317,12.523,12.84,fixation
219.0,108.0,9,66,13007,13073,0.066,13.007,13.073,fixation
125.0,150.0,20,158,13340,13498,0.158,13.34,13.498,fixation
160.0,130.0,9,67,13615,13682,0.067,13.615,13.682,fixation
217.0,142.0,9,67,13790,13857,0.067,13.79,13.857,fixation
163.0,137.0,24,192,13940,14132,0.192,13.94,14.132,fixation
112.0,134.0,13,100,14248,14348,0.1,14.248,14.348,fixation
178.0,138.0,28,225,14465,14690,0.225,14.465,14.69,fixation
136.0,155.0,17,133,14848,14981,0.133,14.848,14.981,fixation
115.0,144.0,14,108,15023,15131,0.108,15.023,15.131,fixation
123.0,152.0,15,116,15240,15356,0.116,15.24,15.356,fixation
160.0,174.0,11,84,15406,15490,0.084,15.406,15.49,fixation
132.0,152.0,50,408,15515,15923,0.408,15.515,15.923,fixation
119.0,144.0,8,58,15998,16056,0.058,15.998,16.056,fixation
125.0,158.0,20,159,16231,16390,0.159,16.231,16.39,fixation
121.0,157.0,21,166,16440,16606,0.166,16.44,16.606,fixation
149.0,134.0,13,100,16715,16815,0.1,16.715,16.815,fixation
232.0,173.0,9,66,16840,16906,0.066,16.84,16.906,fixation
220.0,135.0,14,109,16931,17040,0.109,16.931,17.04,fixation
246.0,133.0,27,217,17073,17290,0.217,17.073,17.29,fixation
160.0,177.0,10,75,17448,17523,0.075,17.448,17.523,fixation
165.0,171.0,25,200,17573,17773,0.2,17.573,17.773,fixation
132.0,125.0,26,208,17848,18056,0.208,17.848,18.056,fixation
204.0,113.0,9,67,18106,18173,0.067,18.106,18.173,fixation
196.0,91.0,18,142,18206,18348,0.142,18.206,18.348,fixation
221.0,98.0,18,141,18373,18514,0.141,18.373,18.514,fixation
228.0,116.0,12,92,18539,18631,0.092,18.539,18.631,fixation
278.0,116.0,9,66,18673,18739,0.066,18.673,18.739,fixation
273.0,84.0,19,150,18839,18989,0.15,18.839,18.989,fixation
200.0,136.0,11,83,19181,19264,0.083,19.181,19.264,fixation
218.0,139.0,10,75,19331,19406,0.075,19.331,19.406,fixation
315.0,154.0,31,250,19439,19689,0.25,19.439,19.689,fixation
240.0,107.0,15,116,19773,19889,0.116,19.773,19.889,fixation
205.0,118.0,21,167,19981,20148,0.167,19.981,20.148,fixation
344.0,135.0,10,75,20423,20498,0.075,20.423,20.498,fixation
333.0,185.0,16,125,20606,20731,0.125,20.606,20.731,fixation
304.0,160.0,33,267,20756,21023,0.267,20.756,21.023,fixation
258.0,157.0,43,350,21081,21431,0.35,21.081,21.431,fixation
270.0,169.0,26,208,21456,21664,0.208,21.456,21.664,fixation
326.0,163.0,14,108,21789,21897,0.108,21.789,21.897,fixation
370.0,165.0,8,59,21997,22056,0.059,21.997,22.056,fixation
378.0,165.0,9,66,22131,22197,0.066,22.131,22.197,fixation
133.0,162.0,8,58,22364,22422,0.058,22.364,22.422,fixation
152.0,185.0,14,108,22439,22547,0.108,22.439,22.547,fixation
217.0,122.0,18,142,22739,22881,0.142,22.739,22.881,fixation
210.0,111.0,29,233,22906,23139,0.233,22.906,23.139,fixation
287.0,112.0,14,109,23297,23406,0.109,23.297,23.406,fixation
307.0,118.0,33,267,23547,23814,0.267,23.547,23.814,fixation
329.0,133.0,19,150,23856,24006,0.15,23.856,24.006,fixation
327.0,128.0,34,275,24272,24547,0.275,24.272,24.547,fixation
440.0,125.0,36,292,24597,24889,0.292,24.597,24.889,fixation
160.0,103.0,17,133,25089,25222,0.133,25.089,25.222,fixation
198.0,111.0,20,158,25347,25505,0.158,25.347,25.505,fixation
200.0,114.0,18,141,25589,25730,0.141,25.589,25.73,fixation
157.0,146.0,8,58,25872,25930,0.058,25.872,25.93,fixation
161.0,166.0,20,158,26147,26305,0.158,26.147,26.305,fixation
245.0,151.0,12,92,26555,26647,0.092,26.555,26.647,fixation
247.0,128.0,15,116,26664,26780,0.116,26.664,26.78,fixation
