x,y,count,duration_ms,start_ms,end_ms,duration_s,start_s,end_s,type
145.0,34.0,8,59,0,59,0.059,0.0,0.059,fixation
360.0,45.0,20,159,100,259,0.159,0.1,0.259,fixation
86.0,74.0,24,191,1147,1338,0.191,1.147,1.338,fixation
85.0,64.0,9,66,1447,1513,0.066,1.447,1.513,fixation
94.0,464.0,18,141,1855,1996,0.141,1.855,1.996,fixation
117.0,418.0,13,100,2221,2321,0.1,2.221,2.321,fixation
156.0,425.0,23,184,2521,2705,0.184,2.521,2.705,fixation
120.0,426.0,17,134,2821,2955,0.134,2.821,2.955,fixation
185.0,444.0,8,59,2996,3055,0.059,2.996,3.055,fixation
187.0,442.0,26,209,3096,3305,0.209,3.096,3.305,fixation
193.0,449.0,13,100,3371,3471,0.1,3.371,3.471,fixation
127.0,466.0,23,183,3513,3696,0.183,3.513,3.696,fixation
126.0,428.0,35,284,3721,4005,0.284,3.721,4.005,fixation
102.0,637.0,25,200,4138,4338,0.2,4.138,4.338,fixation
91.0,574.0,21,166,4388,4554,0.166,4.388,4.554,fixation
118.0,102.0,9,66,4813,4879,0.066,4.813,4.879,fixation
164.0,149.0,27,217,4904,5121,0.217,4.904,5.121,fixation
148.0,121.0,72,591,5138,5729,0.591,5.138,5.729,fixation
122.0,97.0,9,66,5788,5854,0.066,5.788,5.854,fixation
151.0,137.0,35,284,5879,6163,0.284,5.879,6.163,fixation
105.0,423.0,30,241,6238,6479,0.241,6.238,6.479,fixation
116.0,408.0,16,125,6504,6629,0.125,6.504,6.629,fixation
100.0,114.0,11,83,6688,6771,0.083,6.688,6.771,fixation
112.0,135.0,22,175,6788,6963,0.175,6.788,6.963,fixation
126.0,428.0,37,299,7188,7487,0.299,7.188,7.487,fixation
155.0,424.0,12,91,7646,7737,0.091,7.646,7.737,fixation
195.0,429.0,21,167,7804,7971,0.167,7.804,7.971,fixation
204.0,431.0,22,175,7996,8171,0.175,7.996,8.171,fixation
470.0,385.0,11,84,8262,8346,0.084,8.262,8.346,fixation
273.0,76.0,39,317,8512,8829,0.317,8.512,8.829,fixation
260.0,68.0,13,100,8887,8987,0.1,8.887,8.987,fixation
122.0,137.0,20,158,9104,9262,0.158,9.104,9.262,fixation
372.0,124.0,22,175,9646,9821,0.175,9.646,9.821,fixation
267.0,99.0,8,58,9929,9987,0.058,9.929,9.987,fixation
253.0,83.0,11,84,10012,10096,0.084,10.012,10.096,fixation
192.0,95.0,27,217,10129,10346,0.217,10.129,10.346,fixation
242.0,101.0,10,75,10396,10471,0.075,10.396,10.471,fixation
615.0,141.0,12,92,10579,10671,0.092,10.579,10.671,fixation
599.0,94.0,9,66,10696,10762,0.066,10.696,10.762,fixation
527.0,96.0,11,83,10796,10879,0.083,10.796,10.879,fixation
593.0,97.0,23,183,10987,11170,0.183,10.987,11.17,fixation
660.0,88.0,16,125,11254,11379,0.125,11.254,11.379,fixation
688.0,94.0,13,100,11654,11754,0.1,11.654,11.754,fixation
685.0,74.0,8,58,11862,11920,0.058,11.862,11.92,fixation
610.0,80.0,13,100,11970,12070,0.1,11.97,12.07,fixation
671.0,123.0,10,75,12245,12320,0.075,12.245,12.32,fixation
732.0,102.0,46,375,12354,12729,0.375,12.354,12.729,fixation
527.0,112.0,15,117,12870,12987,0.117,12.87,12.987,fixation
559.0,105.0,11,84,13045,13129,0.084,13.045,13.129,fixation
568.0,122.0,22,175,13154,13329,0.175,13.154,13.329,fixation
670.0,95.0,17,134,13370,13504,0.134,13.37,13.504,fixation
672.0,99.0,9,66,13562,13628,0.066,13.562,13.628,fixation
646.0,109.0,16,125,13645,13770,0.125,13.645,13.77,fixation
151.0,96.0,35,291,13837,14128,0.291,13.837,14.128,fixation
138.0,74.0,11,84,14353,14437,0.084,14.353,14.437,fixation
223.0,66.0,24,192,14470,14662,0.192,14.47,14.662,fixation
386.0,88.0,13,100,14703,14803,0.1,14.703,14.803,fixation
389.0,83.0,27,216,14837,15053,0.216,14.837,15.053,fixation
119.0,133.0,11,83,15195,15278,0.083,15.195,15.278,fixation
104.0,139.0,9,67,15345,15412,0.067,15.345,15.412,fixation
102.0,124.0,9,67,15428,15495,0.067,15.428,15.495,fixation
104.0,139.0,9,67,15545,15612,0.067,15.545,15.612,fixation
154.0,137.0,11,83,15695,15778,0.083,15.695,15.778,fixation
161.0,127.0,8,58,15837,15895,0.058,15.837,15.895,fixation
243.0,108.0,9,67,15945,16012,0.067,15.945,16.012,fixation
264.0,136.0,24,192,16145,16337,0.192,16.145,16.337,fixation
365.0,145.0,27,333,16378,16711,0.333,16.378,16.711,fixation
322.0,134.0,8,59,16736,16795,0.059,16.736,16.795,fixation
329.0,146.0,20,158,16845,17003,0.158,16.845,17.003,fixation
350.0,132.0,14,108,17095,17203,0.108,17.095,17.203,fixation
123.0,130.0,19,150,17486,17636,0.15,17.486,17.636,fixation
125.0,98.0,32,259,17661,17920,0.259,17.661,17.92,fixation
241.0,95.0,19,150,17953,18103,0.15,17.953,18.103,fixation
203.0,81.0,34,275,18128,18403,0.275,18.128,18.403,fixation
139.0,102.0,13,100,18595,18695,0.1,18.595,18.695,fixation
131.0,99.0,9,67,18753,18820,0.067,18.753,18.82,fixation
253.0,118.0,16,125,19011,19136,0.125,19.011,19.136,fixation
143.0,96.0,30,242,19253,19495,0.242,19.253,19.495,fixation
159.0,162.0,21,167,19528,19695,0.167,19.528,19.695,fixation
143.0,261.0,14,109,20011,20120,0.109,20.011,20.12,fixation
154.0,249.0,21,166,20170,20336,0.166,20.17,20.336,fixation
257.0,250.0,23,183,20420,20603,0.183,20.42,20.603,fixation
254.0,247.0,16,125,20761,20886,0.125,20.761,20.886,fixation
137.0,210.0,10,75,21070,21145,0.075,21.07,21.145,fixation
285.0,256.0,12,91,21270,21361,0.091,21.27,21.361,fixation
97.0,273.0,8,58,21761,21819,0.058,21.761,21.819,fixation
94.0,268.0,9,66,21903,21969,0.066,21.903,21.969,fixation
182.0,267.0,9,67,22044,22111,0.067,22.044,22.111,fixation
160.0,239.0,22,175,22136,22311,0.175,22.136,22.311,fixation
117.0,221.0,16,125,22444,22569,0.125,22.444,22.569,fixation
66.0,223.0,16,125,22594,22719,0.125,22.594,22.719,fixation
88.0,248.0,10,75,22778,22853,0.075,22.778,22.853,fixation
117.0,241.0,31,250,22986,23236,0.25,22.986,23.236,fixation
132.0,267.0,12,91,23253,23344,0.091,23.253,23.344,fixation
198.0,256.0,12,92,23661,23753,0.092,23.661,23.753,fixation
240.0,269.0,15,116,23778,23894,0.116,23.778,23.894,fixation
224.0,264.0,15,117,23919,24036,0.117,23.919,24.036,fixation
241.0,274.0,26,209,24144,24353,0.209,24.144,24.353,fixation
374.0,261.0,12,92,24469,24561,0.092,24.469,24.561,fixation
570.0,244.0,15,117,24794,24911,0.117,24.794,24.911,fixation
673.0,241.0,21,166,24961,25127,0.166,24.961,25.127,fixation
724.0,229.0,10,75,25161,25236,0.075,25.161,25.236,fixation
112.0,248.0,33,267,25444,25711,0.267,25.444,25.711,fixation
230.0,279.0,17,133,25819,25952,0.133,25.819,25.952,fixation
110.0,253.0,19,150,26161,26311,0.15,26.161,26.311,fixation
124.0,274.0,17,133,26336,26469,0.133,26.336,26.469,fixation
146.0,274.0,27,216,26511,26727,0.216,26.511,26.727,fixation
125.0,266.0,36,292,26752,27044,0.292,26.752,27.044,fixation
159.0,291.0,17,133,27211,27344,0.133,27.211,27.344,fixation
213.0,284.0,37,300,27394,27694,0.3,27.394,27.694,fixation
336.0,258.0,17,134,27810,27944,0.134,27.81,27.944,fixation
275.0,222.0,13,100,28019,28119,0.1,28.019,28.119,fixation
220.0,235.0,11,83,28327,28410,0.083,28.327,28.41,fixation
379.0,293.0,12,92,28535,28627,0.092,28.535,28.627,fixation
328.0,262.0,21,167,28652,28819,0.167,28.652,28.819,fixation
338.0,295.0,12,92,28927,29019,0.092,28.927,29.019,fixation
557.0,269.0,17,133,29127,29260,0.133,29.127,29.26,fixation
105.0,235.0,9,66,29469,29535,0.066,29.469,29.535,fixation
121.0,260.0,13,100,29610,29710,0.1,29.61,29.71,fixation
239.0,294.0,13,100,29752,29852,0.1,29.752,29.852,fixation
203.0,300.0,14,108,30035,30143,0.108,30.035,30.143,fixation
130.0,285.0,26,208,30227,30435,0.208,30.227,30.435,fixation
