x,y,count,duration_ms,start_ms,end_ms,duration_s,start_s,end_s,type
117.0,67.0,11,83,0,83,0.083,0.0,0.083,fixation
462.0,146.0,12,92,208,300,0.092,0.208,0.3,fixation
158.0,145.0,9,67,358,425,0.067,0.358,0.425,fixation
230.0,144.0,36,292,633,925,0.292,0.633,0.925,fixation
115.0,242.0,13,100,1325,1425,0.1,1.325,1.425,fixation
132.0,246.0,10,75,1450,1525,0.075,1.45,1.525,fixation
88.0,58.0,8,59,1716,1775,0.059,1.716,1.775,fixation
98.0,45.0,9,66,1825,1891,0.066,1.825,1.891,fixation
131.0,74.0,11,83,2075,2158,0.083,2.075,2.158,fixation
340.0,56.0,7,58,2208,2266,0.058,2.208,2.266,fixation
418.0,61.0,9,67,2905,2972,0.067,2.905,2.972,fixation
115.0,135.0,8,58,3030,3088,0.058,3.03,3.088,fixation
138.0,139.0,13,100,3155,3255,0.1,3.155,3.255,fixation
203.0,150.0,13,100,3338,3438,0.1,3.338,3.438,fixation
194.0,160.0,20,159,3488,3647,0.159,3.488,3.647,fixation
123.0,148.0,9,67,3696,3763,0.067,3.696,3.763,fixation
130.0,140.0,23,183,3863,4046,0.183,3.863,4.046,fixation
112.0,124.0,11,84,4071,4155,0.084,4.071,4.155,fixation
256.0,192.0,19,150,4563,4713,0.15,4.563,4.713,fixation
212.0,101.0,22,175,4813,4988,0.175,4.813,4.988,fixation
172.0,51.0,17,133,5013,5146,0.133,5.013,5.146,fixation
168.0,143.0,33,267,5296,5563,0.267,5.296,5.563,fixation
194.0,169.0,14,108,5580,5688,0.108,5.58,5.688,fixation
128.0,138.0,39,334,5721,6055,0.334,5.721,6.055,fixation
182.0,162.0,36,291,6105,6396,0.291,6.105,6.396,fixation
119.0,130.0,18,142,6421,6563,0.142,6.421,6.563,fixation
122.0,136.0,24,191,6613,6804,0.191,6.613,6.804,fixation
210.0,141.0,10,76,6854,6930,0.076,6.854,6.93,fixation
153.0,75.0,33,267,7054,7321,0.267,7.054,7.321,fixation
167.0,251.0,8,59,7429,7488,0.059,7.429,7.488,fixation
161.0,231.0,22,175,7513,7688,0.175,7.513,7.688,fixation
168.0,212.0,22,175,7729,7904,0.175,7.729,7.904,fixation
226.0,228.0,11,84,8004,8088,0.084,8.004,8.088,fixation
204.0,303.0,15,117,9293,9410,0.117,9.293,9.41,fixation
308.0,453.0,9,67,9968,10035,0.067,9.968,10.035,fixation
187.0,430.0,28,225,10398,10623,0.225,10.398,10.623,fixation
172.0,416.0,24,191,10648,10839,0.191,10.648,10.839,fixation
351.0,534.0,32,258,10948,11206,0.258,10.948,11.206,fixation
183.0,542.0,42,342,11281,11623,0.342,11.281,11.623,fixation
200.0,528.0,25,200,11681,11881,0.2,11.681,11.881,fixation
174.0,648.0,11,83,11931,12014,0.083,11.931,12.014,fixation
165.0,614.0,16,125,12039,12164,0.125,12.039,12.164,fixation
167.0,614.0,38,309,12214,12523,0.309,12.214,12.523,fixation
212.0,322.0,8,58,12631,12689,0.058,12.631,12.689,fixation
236.0,341.0,10,75,12823,12898,0.075,12.823,12.898,fixation
175.0,311.0,9,67,13064,13131,0.067,13.064,13.131,fixation
169.0,304.0,24,192,13289,13481,0.192,13.289,13.481,fixation
263.0,334.0,19,150,13647,13797,0.15,13.647,13.797,fixation
260.0,331.0,10,75,13839,13914,0.075,13.839,13.914,fixation
178.0,328.0,10,75,14047,14122,0.075,14.047,14.122,fixation
196.0,386.0,16,125,14222,14347,0.125,14.222,14.347,fixation
300.0,379.0,26,208,14389,14597,0.208,14.389,14.597,fixation
269.0,379.0,32,259,14622,14881,0.259,14.622,14.881,fixation
176.0,373.0,17,134,14922,15056,0.134,14.922,15.056,fixation
177.0,379.0,9,67,15114,15181,0.067,15.114,15.181,fixation
129.0,375.0,11,84,15297,15381,0.084,15.297,15.381,fixation
240.0,395.0,12,91,15431,15522,0.091,15.431,15.522,fixation
394.0,409.0,9,66,15831,15897,0.066,15.831,15.897,fixation
366.0,376.0,12,91,15931,16022,0.091,15.931,16.022,fixation
298.0,378.0,49,400,16055,16455,0.4,16.055,16.455,fixation
430.0,367.0,50,408,16514,16922,0.408,16.514,16.922,fixation
115.0,439.0,29,233,17014,17247,0.233,17.014,17.247,fixation
121.0,431.0,23,183,17264,17447,0.183,17.264,17.447,fixation
183.0,435.0,23,184,17480,17664,0.184,17.48,17.664,fixation
244.0,437.0,10,75,17822,17897,0.075,17.822,17.897,fixation
