x,y,count,duration_ms,start_ms,end_ms,duration_s,start_s,end_s,type
320.0,-12.0,21,166,0,166,0.166,0.0,0.166,fixation
288.0,107.0,17,134,963,1097,0.134,0.963,1.097,fixation
297.0,128.0,9,66,1122,1188,0.066,1.122,1.188,fixation
414.0,85.0,11,84,1263,1347,0.084,1.263,1.347,fixation
347.0,450.0,9,67,1580,1647,0.067,1.58,1.647,fixation
74.0,406.0,8,59,2188,2247,0.059,2.188,2.247,fixation
230.0,509.0,8,59,2510,2569,0.059,2.51,2.569,fixation
242.0,771.0,23,183,2619,2802,0.183,2.619,2.802,fixation
144.0,751.0,18,141,2844,2985,0.141,2.844,2.985,fixation
204.0,759.0,25,200,3010,3210,0.2,3.01,3.21,fixation
85.0,771.0,29,233,3252,3485,0.233,3.252,3.485,fixation
110.0,765.0,21,166,3502,3668,0.166,3.502,3.668,fixation
78.0,774.0,26,209,3693,3902,0.209,3.693,3.902,fixation
132.0,351.0,16,125,3977,4102,0.125,3.977,4.102,fixation
148.0,340.0,18,141,4152,4293,0.141,4.152,4.293,fixation
130.0,112.0,13,100,4493,4593,0.1,4.493,4.593,fixation
158.0,129.0,8,59,4618,4677,0.059,4.618,4.677,fixation
92.0,141.0,13,100,4943,5043,0.1,4.943,5.043,fixation
73.0,107.0,11,83,5077,5160,0.083,5.077,5.16,fixation
101.0,130.0,10,75,5310,5385,0.075,5.31,5.385,fixation
108.0,530.0,30,242,5585,5827,0.242,5.585,5.827,fixation
109.0,494.0,55,450,5852,6302,0.45,5.852,6.302,fixation
104.0,502.0,12,92,6360,6452,0.092,6.36,6.452,fixation
116.0,514.0,24,191,6502,6693,0.191,6.502,6.693,fixation
109.0,607.0,24,191,6777,6968,0.191,6.777,6.968,fixation
178.0,683.0,25,199,7002,7201,0.199,7.002,7.201,fixation
237.0,479.0,32,258,7260,7518,0.258,7.26,7.518,fixation
336.0,468.0,25,200,7685,7885,0.2,7.685,7.885,fixation
384.0,454.0,12,91,7910,8001,0.091,7.91,8.001,fixation
65.0,481.0,26,208,8393,8601,0.208,8.393,8.601,fixation
148.0,511.0,17,133,8843,8976,0.133,8.843,8.976,fixation
170.0,530.0,16,125,9001,9126,0.125,9.001,9.126,fixation
328.0,520.0,29,234,9176,9410,0.234,9.176,9.41,fixation
262.0,515.0,37,300,9443,9743,0.3,9.443,9.743,fixation
406.0,793.0,12,91,9793,9884,0.091,9.793,9.884,fixation
353.0,747.0,21,167,9909,10076,0.167,9.909,10.076,fixation
216.0,739.0,21,167,10109,10276,0.167,10.109,10.276,fixation
145.0,485.0,24,192,10409,10601,0.192,10.409,10.601,fixation
181.0,472.0,30,242,10626,10868,0.242,10.626,10.868,fixation
158.0,498.0,54,441,10893,11334,0.441,10.893,11.334,fixation
153.0,497.0,23,183,11393,11576,0.183,11.393,11.576,fixation
98.0,491.0,21,167,11601,11768,0.167,11.601,11.768,fixation
223.0,493.0,11,83,12043,12126,0.083,12.043,12.126,fixation
237.0,520.0,42,342,12151,12493,0.342,12.151,12.493,fixation
139.0,515.0,34,275,12551,12826,0.275,12.551,12.826,fixation
189.0,492.0,72,675,12926,13601,0.675,12.926,13.601,fixation
93.0,487.0,22,175,13709,13884,0.175,13.709,13.884,fixation
76.0,503.0,16,125,13934,14059,0.125,13.934,14.059,fixation
133.0,498.0,17,134,14092,14226,0.134,14.092,14.226,fixation
191.0,500.0,18,141,14251,14392,0.141,14.251,14.392,fixation
235.0,496.0,27,217,14417,14634,0.217,14.417,14.634,fixation
236.0,507.0,19,150,14651,14801,0.15,14.651,14.801,fixation
268.0,527.0,18,142,14817,14959,0.142,14.817,14.959,fixation
393.0,508.0,22,175,15001,15176,0.175,15.001,15.176,fixation
328.0,506.0,17,133,15209,15342,0.133,15.209,15.342,fixation
74.0,548.0,22,175,15392,15567,0.175,15.392,15.567,fixation
95.0,534.0,14,108,15834,15942,0.108,15.834,15.942,fixation
178.0,521.0,30,241,15976,16217,0.241,15.976,16.217,fixation
76.0,646.0,22,175,16342,16517,0.175,16.342,16.517,fixation
90.0,596.0,18,142,16550,16692,0.142,16.55,16.692,fixation
145.0,613.0,17,134,16750,16884,0.134,16.75,16.884,fixation
127.0,704.0,20,158,16917,17075,0.158,16.917,17.075,fixation
336.0,756.0,14,109,17125,17234,0.109,17.125,17.234,fixation
128.0,749.0,37,317,17275,17592,0.317,17.275,17.592,fixation
202.0,733.0,24,192,17625,17817,0.192,17.625,17.817,fixation
244.0,744.0,15,117,17842,17959,0.117,17.842,17.959,fixation
138.0,760.0,23,183,17992,18175,0.183,17.992,18.175,fixation
223.0,746.0,21,167,18217,18384,0.167,18.217,18.384,fixation
301.0,738.0,19,150,18525,18675,0.15,18.525,18.675,fixation
88.0,743.0,21,184,18725,18909,0.184,18.725,18.909,fixation
460.0,730.0,16,125,19050,19175,0.125,19.05,19.175,fixation
368.0,730.0,19,150,19275,19425,0.15,19.275,19.425,fixation
436.0,739.0,12,91,19542,19633,0.091,19.542,19.633,fixation
599.0,747.0,46,375,19675,20050,0.375,19.675,20.05,fixation
674.0,745.0,20,159,20083,20242,0.159,20.083,20.242,fixation
263.0,765.0,24,200,20308,20508,0.2,20.308,20.508,fixation
336.0,770.0,24,192,20550,20742,0.192,20.55,20.742,fixation
403.0,771.0,37,300,20767,21067,0.3,20.767,21.067,fixation
455.0,764.0,42,341,21092,21433,0.341,21.092,21.433,fixation
500.0,767.0,17,134,21458,21592,0.134,21.458,21.592,fixation
533.0,762.0,34,275,21617,21892,0.275,21.617,21.892,fixation
664.0,768.0,33,267,21933,22200,0.267,21.933,22.2,fixation
602.0,767.0,12,91,22242,22333,0.091,22.242,22.333,fixation
765.0,760.0,35,284,22366,22650,0.284,22.366,22.65,fixation
673.0,766.0,10,75,22691,22766,0.075,22.691,22.766,fixation
714.0,765.0,26,209,22791,23000,0.209,22.791,23.0,fixation
471.0,749.0,19,150,23050,23200,0.15,23.05,23.2,fixation
506.0,761.0,56,458,23250,23708,0.458,23.25,23.708,fixation
129.0,464.0,23,183,23783,23966,0.183,23.783,23.966,fixation
328.0,508.0,23,184,24141,24325,0.184,24.141,24.325,fixation
918.0,718.0,19,150,24391,24541,0.15,24.391,24.541,fixation
911.0,752.0,23,183,24575,24758,0.183,24.575,24.758,fixation
987.0,750.0,24,192,24783,24975,0.192,24.783,24.975,fixation
964.0,749.0,14,109,24991,25100,0.109,24.991,25.1,fixation
762.0,751.0,40,324,25150,25474,0.324,25.15,25.474,fixation
820.0,755.0,37,300,25508,25808,0.3,25.508,25.808,fixation
189.0,757.0,26,216,25883,26099,0.216,25.883,26.099,fixation
120.0,758.0,34,275,26124,26399,0.275,26.124,26.399,fixation
70.0,768.0,17,133,26458,26591,0.133,26.458,26.591,fixation
288.0,779.0,9,66,26633,26699,0.066,26.633,26.699,fixation
268.0,760.0,33,267,26724,26991,0.267,26.724,26.991,fixation
302.0,770.0,32,258,27016,27274,0.258,27.016,27.274,fixation
247.0,760.0,36,292,27299,27591,0.292,27.299,27.591,fixation
101.0,749.0,8,59,27699,27758,0.059,27.699,27.758,fixation
133.0,765.0,33,267,27774,28041,0.267,27.774,28.041,fixation
144.0,793.0,120,991,28066,29057,0.991,28.066,29.057,fixation
184.0,812.0,16,125,29082,29207,0.125,29.082,29.207,fixation
181.0,808.0,10,75,29257,29332,0.075,29.257,29.332,fixation
139.0,794.0,21,166,29366,29532,0.166,29.366,29.532,fixation
107.0,823.0,19,150,29557,29707,0.15,29.557,29.707,fixation
132.0,859.0,24,192,29732,29924,0.192,29.732,29.924,fixation
97.0,878.0,24,192,29949,30141,0.192,29.949,30.141,fixation
54.0,869.0,23,183,30166,30349,0.183,30.166,30.349,fixation
106.0,863.0,8,58,30416,30474,0.058,30.416,30.474,fixation
235.0,865.0,12,92,30582,30674,0.092,30.582,30.674,fixation
152.0,905.0,55,450,30799,31249,0.45,30.799,31.249,fixation
253.0,904.0,33,266,31291,31557,0.266,31.291,31.557,fixation
100.0,622.0,58,475,31624,32099,0.475,31.624,32.099,fixation
125.0,531.0,8,58,32132,32190,0.058,32.132,32.19,fixation
349.0,890.0,22,175,32257,32432,0.175,32.257,32.432,fixation
260.0,876.0,38,309,32465,32774,0.309,32.465,32.774,fixation
224.0,892.0,27,216,32799,33015,0.216,32.799,33.015,fixation
305.0,897.0,24,191,33049,33240,0.191,33.049,33.24,fixation
51.0,882.0,17,134,33365,33499,0.134,33.365,33.499,fixation
102.0,886.0,16,125,33524,33649,0.125,33.524,33.649,fixation
170.0,891.0,15,116,33699,33815,0.116,33.699,33.815,fixation
171.0,348.0,11,83,33957,34040,0.083,33.957,34.04,fixation
119.0,335.0,13,100,34124,34224,0.1,34.124,34.224,fixation
158.0,284.0,29,233,34257,34490,0.233,34.257,34.49,fixation
131.0,182.0,14,108,34557,34665,0.108,34.557,34.665,fixation
71.0,85.0,9,66,34724,34790,0.066,34.724,34.79,fixation
109.0,125.0,11,83,34882,34965,0.083,34.882,34.965,fixation
138.0,130.0,28,225,35082,35307,0.225,35.082,35.307,fixation
97.0,127.0,12,91,35407,35498,0.091,35.407,35.498,fixation
164.0,116.0,10,75,35540,35615,0.075,35.54,35.615,fixation
165.0,108.0,29,233,35690,35923,0.233,35.69,35.923,fixation
128.0,283.0,42,342,35973,36315,0.342,35.973,36.315,fixation
144.0,302.0,17,133,36340,36473,0.133,36.34,36.473,fixation
110.0,883.0,30,258,36757,37015,0.258,36.757,37.015,fixation
157.0,908.0,40,325,37198,37523,0.325,37.198,37.523,fixation
272.0,888.0,40,325,37565,37890,0.325,37.565,37.89,fixation
305.0,895.0,25,200,37915,38115,0.2,37.915,38.115,fixation
238.0,903.0,10,75,38140,38215,0.075,38.14,38.215,fixation
219.0,897.0,58,475,38240,38715,0.475,38.24,38.715,fixation
147.0,776.0,30,242,38756,38998,0.242,38.756,38.998,fixation
106.0,780.0,22,175,39023,39198,0.175,39.023,39.198,fixation
156.0,790.0,37,300,39223,39523,0.3,39.223,39.523,fixation
196.0,773.0,24,192,39548,39740,0.192,39.548,39.74,fixation
113.0,769.0,87,717,39773,40490,0.717,39.773,40.49,fixation
